id,rooms,surface,floor,maxfloor,compartiment,age,euro,location,link
X7KQ100ER,1,24,1,4,semidecomandat,-1,52500,zorilor,https://www.imobiliare.ro/vanzare-garsoniere/cluj-napoca/zorilor/garsoniera-de-vanzare-X7KQ100ER?lista=6981616
X9PL10043,2,30,3,4,semidecomandat,-1,52000,gheorgheni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-2-camere-X9PL10043?lista=6981616
X9LN1006T,1,30,0,2,decomandat,-1,55000,andrei muresanu,https://www.imobiliare.ro/vanzare-garsoniere/cluj-napoca/andrei-muresanu/garsoniera-de-vanzare-X9LN1006T?lista=6981616
X8CG1001D,2,39,-1,3,decomandat,-1,55000,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-2-camere-X8CG1001D?lista=6981616
X6MU10013,2,37,0,0,semidecomandat,-1,54000,horea,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/horea/apartament-de-vanzare-2-camere-X6MU10013?lista=6981616
XB5500002,3,71,3,3,decomandat,0,53800,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-XB5500002?lista=6981616
XV0G00LCJ,2,170,-1,0,decomandat,-1,50000,central,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-2-camere-XV0G00LCJ?lista=6981616
XV0F00SBV,1,25,0,0,semidecomandat,-1,50000,central,https://www.imobiliare.ro/vanzare-garsoniere/cluj-napoca/central/garsoniera-de-vanzare-XV0F00SBV?lista=6981616
X46K1036M,2,30,0,0,semidecomandat,-1,50000,gheorgheni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-2-camere-X46K1036M?lista=6981616
X4I71000D,2,55,4,5,decomandat,0,54900,baciu,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/baciu/apartament-de-vanzare-2-camere-X4I71000D?lista=6981616
XARL10040,2,38,0,4,decomandat,-1,55000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-2-camere-XARL10040?lista=6981616
X1KA100SN,1,24,0,0,semidecomandat,-1,51900,central,https://www.imobiliare.ro/vanzare-garsoniere/cluj-napoca/central/garsoniera-de-vanzare-X1KA100SN?lista=6981616
X1KA1005L,1,25,-1,3,semidecomandat,-1,55000,central,https://www.imobiliare.ro/vanzare-garsoniere/cluj-napoca/central/garsoniera-de-vanzare-X1KA1005L?lista=6981616
X57Q10008,1,43,4,8,semidecomandat,0,52000,marasti,https://www.imobiliare.ro/vanzare-garsoniere/cluj-napoca/marasti/garsoniera-de-vanzare-X57Q10008?lista=6981616
X8F50008V,1,29,4,4,semidecomandat,-1,54000,marasti,https://www.imobiliare.ro/vanzare-garsoniere/cluj-napoca/marasti/garsoniera-de-vanzare-X8F50008V?lista=6981616
X8MD1004N,2,31,4,4,semidecomandat,-1,54000,gheorgheni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-2-camere-X8MD1004N?lista=6981616
X46K104AA,1,29,4,4,semidecomandat,-1,54000,marasti,https://www.imobiliare.ro/vanzare-garsoniere/cluj-napoca/marasti/garsoniera-de-vanzare-X46K104AA?lista=6981616
X46K10434,1,33,3,0,decomandat,0,55000,marasti,https://www.imobiliare.ro/vanzare-garsoniere/cluj-napoca/marasti/garsoniera-de-vanzare-X46K10434?lista=6981616
X46K1032N,1,28,3,4,semidecomandat,-1,53000,grigorescu,https://www.imobiliare.ro/vanzare-garsoniere/cluj-napoca/grigorescu/garsoniera-de-vanzare-X46K1032N?lista=6981616
X46K1034H,1,30,1,10,decomandat,-1,54000,manastur,https://www.imobiliare.ro/vanzare-garsoniere/cluj-napoca/manastur/garsoniera-de-vanzare-X46K1034H?lista=6981616
X8JT10022,2,42,2,6,semidecomandat,0,52000,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-2-camere-X8JT10022?lista=6981616
XV0G00NQV,1,28,3,4,semidecomandat,-1,55000,marasti,https://www.imobiliare.ro/vanzare-garsoniere/cluj-napoca/marasti/garsoniera-de-vanzare-XV0G00NQV?lista=6981616
X57Q100DG,2,30,3,4,semidecomandat,-1,53000,gheorgheni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-2-camere-X57Q100DG?lista=6981616
X8M21000T,1,36,1,2,semidecomandat,0,52870,europa,https://www.imobiliare.ro/vanzare-garsoniere/cluj-napoca/europa/garsoniera-de-vanzare-X8M21000T?lista=6981616
XARL1001F,2,37,4,4,semidecomandat,-1,52500,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-2-camere-XARL1001F?lista=6981616
X5NQ10020,2,50,6,7,decomandat,0,54900,gara,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gara/apartament-de-vanzare-2-camere-X5NQ10020?lista=6981616
X4NB100B1,2,47,2,6,decomandat,0,54500,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-2-camere-X4NB100B1?lista=6981616
X9E000018,1,44,4,6,decomandat,0,52320,marasti,https://www.imobiliare.ro/vanzare-garsoniere/cluj-napoca/marasti/garsoniera-de-vanzare-X9E000018?lista=6981616
X8F50006O,1,40,1,4,decomandat,-1,53500,iris,https://www.imobiliare.ro/vanzare-garsoniere/cluj-napoca/iris/garsoniera-de-vanzare-X8F50006O?lista=6981616
X8BT00017,2,49,0,7,decomandat,-1,53000,baciu,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/baciu/apartament-de-vanzare-2-camere-X8BT00017?lista=6981616
